;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;DATA  SERVICE AC 2026;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PT DHARMA POLIMETAL Tbk;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NO;RUANGAN / LOKASI;NO AC;JENIS;PK;BULAN JANUARI 2026;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31
1;AUDITORIUM;RA 001;SPLITE;2 PK;;;;;;;;;;;;;;;;v;;;;;;;;;;;;;;;
2;AUDITORIUM;RA 002;SPLITE;2 PK;;;;;;;;;;;;;;;;v;;;;;;;;;;;;;;;
3;AUDITORIUM;RA 003;SPLITE;2 PK;;;;;;;;;;;;;;;;v;;;;;;;;;;;;;;;
4;AUDITORIUM;RA 004;SPLITE;2 PK;;;;;;;;;;;;;;;;v;;;;;;;;;;;;;;;
5;AUDITORIUM;RA 005;SPLITE;2 PK;;;;;;;;;;;;;;;;v;;;;;;;;;;;;;;;
6;AUDITORIUM;RA 006;SPLITE;2 PK;;;;;;;;;;;;;;;;v;;;;;;;;;;;;;;;
7;AUDITORIUM;RA 007;SPLITE;2 PK;;;;;;;;;;;;;;;;v;;;;;;;;;;;;;;;
8;AUDITORIUM;RA 008;CASSET;4 PK;;;;;;;;;;;;;;;;v;;;;;;;;;;;;;;;
9;AUDITORIUM;RA 009;CASSET;4 PK;;;;;;;;;;;;;;;;;v;;;;;;;;;;;;;;
10;AUDITORIUM;RA 010;CASSET;4 PK;;;;;;;;;;;;;;;;;v;;;;;;;;;;;;;;
11;AUDITORIUM;RA 011;CASSET;4 PK;;;;;;;;;;;;;;;;;v;;;;;;;;;;;;;;
12;R. TRAINING;RA 014;SPLITE;2 PK;;;;;;;;;;;;;;;;;v;;;;;;;;;;;;;;
13;R. TRAINING;RA 015;SPLITE;2 PK;;;;;;;;;;;;;;;;;v;;;;;;;;;;;;;;
14;R. ARJUNO;RA 016;SPLITE;2 PK;;;;;;;;;;;;;;;;;v;;;;;;;;;;;;;;
15;R. MERBABU;RA 017;SPLITE;2 PK;;;;;;;;;;;;;;;;;v;;;;;;;;;;;;;;
16;R. MERBABU;RA 018;SPLITE;2 PK;;;;;;;;;;;;;;;;;v;;;;;;;;;;;;;;
17;SEKCOR;RA 042;SPLITE;2 PK;;;;;;;;;;;;;;;;;;;;;;;;v;;;;;;;
18;SEKERTARIS;RA 043;SPLITE;2 PK;;;;;;;;;;;;;;;;;;;;;;;;v;;;;;;;
19;DIREKTUR 1;RA 044;CASSET;2 PK;;;;;;;;;;;;;;;;;;;;;;;;v;;;;;;;
20;DIREKTUR 2;RA 045;CASSET;2 PK;;;;;;;;;;;;;;;;;;;;;;;;v;;;;;;;
21;DIREKTUR 3;RA 046;CASSET;2 PK;;;;;;;;;;;;;;;;;;;;;;;;v;;;;;;;
22;DIREKTUR 4;RA 047;SPLITE;2 PK;;;;;;;;;;;;;;;;;;;;;;;;v;;;;;;;
23;PRESDIR;RA048;CASSET;2 PK;;;;;;;;;;;;;;;;;;;;;;;;v;;;;;;;
24;R. MEETING EXC;RA 049;CASSET;3 PK;;;;;;;;;;;;;;;;;;;;;;;;v;;;;;;;
25;R. MEETING EXC;RA 050;CASSET;3 PK;;;;;;;;;;;;;;;;;;;;;;;;v;;;;;;;
26;R. MEETING EXC;RA 051;CASSET;3 PK;;;;;;;;;;;;;;;;;;;;;;;;v;;;;;;;
27;R. SPSI;RB002;SPLITE;2 PK;;;;;;;;;;;;;;;;;;;;;;;;;;;;v;;;
28;R. KLINIK;RB003;CASSET;2 PK;;;;;;;;;;;;;;;;;;;;;;;;;;;;v;;;
29;R. KERINCI;RB004;CASSET;2 PK;;;;;;;;;;;;;;;;;;;;;;;;;;;;v;;;
30;R. LAKTASI;RB005;CASSET;2 PK;;;;;;;;;;;;;;;;;;;;;;;;;;;;v;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NO;RUANGAN / LOKASI;NO AC;JENIS;PK;BULAN JANUARI 2026;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31
31;R. KELUD;RB006;SPLITE;2 PK;;;;;;;;;;;;;;;;;;;;;;;;;;;;v;;;
32;R. PAPANDAYAN;RB007;SPLITE;2 PK;;;;;;;;;;;;;;;;;;;;;;;;;;;;v;;;
33;R. GYM;RB008;CASSET;3 PK;;;;;;;;;;;;;;;;;;;;;;;;;;;;v;;;
34;R. PERSONALIA;RB009;SPLITE;2 PK;;;;;;;;;;;;;;;;;;;;;;;;;;;;v;;;
35;R. INVOICE;RB010;SPLITE;1,5;;;;;;;;;;;;;v;;;;;;;;;;;;;;;;;;
36;LOBBY UTAMA;RB011;CASSET;3 PK;;;;;;;;;;;;;v;;;;;;;;;;;;;;;;;;
37;R. RINJANI;RB012;CASSET;2 PK;;;;;;;;;;;;;v;;;;;;;;;;;;;;;;;;
38;R. SEMERU;RB013;CASSET;2 PK;;;;;;;;;;;;;v;;;;;;;;;;;;;;;;;;
39;R. SEMERU;RB014;CASSET;2 PK;;;;;;;;;;;;;v;;;;;;;;;;;;;;;;;;
40;R. MERAPI;RB021;SPLITE;1 PK;;;;;;;;;;;;;v;;;;;;;;;;;;;;;;;;
41;R. CEREMAI;RB022;SPLITE;1 PK;;;;;;;;;;;;;v;;;;;;;;;;;;;;;;;;
42;R. GALUNGGUNG;RB023;SPLITE;1 PK;;;;;;;;;;;;;v;;;;;;;;;;;;;;;;;;
43;R. GUDANG PURCH;RB024;SPLITE;1 PK;;;;;;;;;;;;;;;v;;;;;;;;;;;;;;;;
44;POS 2;RB025;SPLITE;1.5 PK;;;;;;;;;;;;;;;v;;;;;;;;;;;;;;;;
45;MAINTENANCE;GB001;SPLITE;1 PK;;;;;;;;;;;;;;;v;;;;;;;;;;;;;;;;
46;MAINTENANCE;GB002;SPLITE;1 PK;;;;;;;;;;;;;;;v;;;;;;;;;;;;;;;;
47;ASSET MANAGEMENT;GB003;SPLITE;2 PK;;;;;;;;;;;;;;;v;;;;;;;;;;;;;;;;
48;GUDANG ATK;GB004;SPLITE;1,5 PK;;;;;;;;;;;;;;;v;;;;;;;;;;;;;;;;
49;DOJO;GB005;CASSET;2 PK;;;;;;;;;;;;;;;v;;;;;;;;;;;;;;;;
50;DOJO;GB006;CASSET;2 PK;;;;;;;;;;;;;;;v;;;;;;;;;;;;;;;;
51;DOJO;GB007;SPLITE;1,5 PK;;;;;;;;;;;;;;;;;;;;v;;;;;;;;;;;
52;DOJO;GB008;SPLITE;1 PK;;;;;;;;;;;;;;;;;;;;v;;;;;;;;;;;
53;KOPERASI;GB009;SPLITE;1 PK;;;;;;;;;;;;;;;;;;;;v;;;;;;;;;;;
54;KOPERASI;GB010;SPLITE;2 PK;;;;;;;;;;;;;;;;;;;;v;;;;;;;;;;;
55;MANUFACTUR;GB011;SPLITE;1 PK;;;;;;;;;;;;;;;;;;;;v;;;;;;;;;;;
56;MANUFACTUR;GB012;SPLITE;1 PK;;;;;;;;;;;;;;;;;;;;v;;;;;;;;;;;
57;MANUFACTUR;GB013;SPLITE;2 PK;;;;;;;;;;;;;;;;;;;;v;;;;;;;;;;;
58;MANUFACTUR;GB014;SPLITE;2 PK;;;;;;;;;;;;;;;;;;;;v;;;;;;;;;;;
59;R. QA;GB015;SPLITE;2 PK;;;;;;;;;;;;;;;;;;;;;;v;;;;;;;;;
60;R. QA;GB016;SPLITE;1 PK;;;;;;;;;;;;;;;;;;;;;;v;;;;;;;;;
61;R. QA;GB017;SPLITE;1 PK;;;;;;;;;;;;;;;;;;;;;;v;;;;;;;;;
62;R. QA;GB018;SPLITE;2 PK;;;;;;;;;;;;;;;;;;;;;;v;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NO;RUANGAN / LOKASI;NO AC;JENIS;PK;BULAN JANUARI 2026;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31
63;R. LAB METALURGI;GB025;SPLITE;1,5 PK;;;;;;;;;;;;;;;;;;;;;;v;;;;;;;;;
64;R. LAB METALURGI;GB026;SPLITE;1,5 PK;;;;;;;;;;;;;;;;;;;;;;v;;;;;;;;;
65;R. ENG 2W;GB028;SPLITE;1,5 PK;;;;;;;;;;;;;;;;;;;;;;v;;;;;;;;;
66;R. ENG 2W;GB031;SPLITE;2 PK;;;;;;;;;;;;;;;;;;;;;;v;;;;;;;;;
67;R. ENG 2W;GB032;SPLITE;1 PK;;;;;;;;;;;;;;;;;;;;;;;;;;;v;;;;
68;OFFICE 4W;GB034;SPLITE;1 PK;;;;;;;;;;;;;;;;;;;;;;;;;;;v;;;;
69;OFFICE 4W;GB035;SPLITE;2 PK;;;;;;;;;;;;;;;;;;;;;;;;;;;v;;;;
70;OFFICE 4 W;GB036;SPLITE;2 PK;;;;;;;;;;;;;;;;;;;;;;;;;;;v;;;;
71;DOJO MTC;GB038;SPLITE;2 PK;;;;;;;;;;;;;;;;;;;;;;;;;;;v;;;;
72;DOJO ;GB039;SPLITE;2 PK;;;;;;;;;;;;;;;;;;;;;;;;;;;v;;;;
73;OFFICE QUALITY BARU;GB040;SPLITE;2 PK;;;;;;;;;;;;;;;;;;;;;;;;;;;v;;;;
74;OFFICE QUALITY BARU;GB041;SPLITE;2 PK;;;;;;;;;;;;;;;;;;;;;;;;;;;v;;;;
75;OFFICE QUALITY BARU;GB042;SPLITE;1 PK;;;;;;;;;;;;;;;;;;;;;;;;;;;;;v;;
76;OFFICE QUALITY BARU;GB043;SPLITE;1 PK;;;;;;;;;;;;;;;;;;;;;;;;;;;;;v;;
